Date,^DJI,TSLA,AAPL,MSFT,GOOG,AMZN
2014-08-28,17068.6953125,17.537333488464355,25.542499542236328,44.795000076293945,28.43069362640381,17.014750480651855
2014-08-27,17112.6044921875,17.484333038330078,25.4087495803833,44.8799991607666,28.63620376586914,17.200249671936035
2014-08-26,17116.685546875,17.57200050354004,25.295000076293945,45.170000076293945,28.88020896911621,16.972750663757324
2014-08-25,17068.275390625,17.39566707611084,25.431249618530273,45.239999771118164,29.02032470703125,16.73699951171875
2014-08-22,17024.3994140625,16.98533344268799,25.207500457763672,45.27000045776367,29.067096710205078,16.622000694274902
2014-08-21,17029.2353515625,17.068666458129883,25.131250381469727,45.040000915527344,29.061211585998535,16.720250129699707
2014-08-20,16945.720703125,17.05799961090088,25.1299991607666,45.150001525878906,29.151713371276855,16.779500007629395
2014-08-19,16884.095703125,17.031667709350586,25.0,45.08500099182129,29.203322410583496,16.720499992370605
2014-08-18,16752.3642578125,17.56700038909912,24.668750762939453,44.89500045776367,28.933313369750977,16.789249420166016
2014-08-15,16675.3447265625,17.35300064086914,24.381250381469727,44.650001525878906,28.66878890991211,16.58300018310547
2014-08-14,16682.9453125,17.31666660308838,24.296250343322754,44.21499824523926,28.64086627960205,16.520000457763672
2014-08-13,16618.9140625,17.508333206176758,24.15999984741211,43.85000038146973,28.44066619873047,16.446499824523926
2014-08-12,16553.685546875,17.16266632080078,24.06124973297119,43.295000076293945,28.09237289428711,15.956500053405762
2014-08-11,16592.6298828125,17.291333198547363,23.864999771118164,43.23500061035156,28.334457397460938,15.931499481201172
2014-08-08,16460.40478515625,16.60866641998291,23.512499809265137,43.114999771118164,28.187610626220703,15.69950008392334
2014-08-07,16419.06494140625,16.86033344268799,23.75624942779541,43.05000114440918,28.19733428955078,15.63824987411499
2014-08-06,16431.509765625,16.333333015441895,23.77375030517578,42.689998626708984,28.190104484558105,15.649499893188477
2014-08-05,16464.76025390625,15.956000328063965,23.755000114440918,43.14500045776367,28.287087440490723,15.61525011062622
2014-08-04,16521.7099609375,15.792333126068115,23.96875,43.14000129699707,28.408254623413086,15.617000102996826
2014-08-01,16510.91015625,15.449999809265137,23.928750038146973,42.92499923706055,28.39229965209961,15.510499954223633
2014-07-31,16716.4658203125,15.096667289733887,24.09749984741211,43.385000228881836,28.762282371520996,15.81350040435791
2014-07-30,16900.5498046875,15.021333694458008,24.546249389648438,43.69499969482422,29.257174491882324,16.030749797821045
2014-07-29,16984.28515625,15.105333805084229,24.71125030517578,43.864999771118164,29.25006866455078,16.0600004196167
2014-07-28,16939.55078125,15.113333702087402,24.598750114440918,44.21999931335449,29.35074234008789,16.032999515533447
2014-07-25,16998.990234375,14.957333087921143,24.309999465942383,44.47999954223633,29.391554832458496,15.990749835968018
2014-07-24,17090.4501953125,14.863333702087402,24.21749973297119,44.65999984741211,29.700207710266113,18.084250450134277
2014-07-23,17089.55078125,14.805999755859375,24.13124942779541,45.03499984741211,29.677270889282227,17.931249618530273
2014-07-22,17086.7802734375,14.747000217437744,23.62625026702881,44.8700008392334,29.674777030944824,17.954500198364258
2014-07-21,17034.724609375,14.66433334350586,23.59000015258789,44.69000053405762,29.41007900238037,17.960750579833984
2014-07-18,17045.5146484375,14.571332931518555,23.469999313354492,44.545000076293945,29.38931179046631,17.793999671936035
2014-07-17,17058.875,14.47166633605957,23.481249809265137,44.97999954223633,28.66131019592285,17.708499908447266
2014-07-16,17100.6298828125,14.720666885375977,23.979999542236328,43.39500045776367,29.1848726272583,17.80799961090088
2014-07-15,17063.365234375,14.858333587646484,23.984999656677246,42.25,28.979561805725098,17.624749183654785
2014-07-14,17019.6796875,14.808000087738037,24.067500114440918,42.2450008392334,29.00137710571289,17.528249740600586
2014-07-11,16904.880859375,14.639999866485596,23.84375,41.78499984741211,28.727877616882324,17.042750358581543
2014-07-10,16892.865234375,14.608666896820068,23.633749961853027,41.52499961853027,28.461857795715332,16.315750122070312
2014-07-09,16956.3798828125,14.781000137329102,23.838749885559082,41.760000228881836,28.57395076751709,16.333749771118164
2014-07-08,16948.439453125,14.507667064666748,23.84000015258789,41.80500030517578,28.563154220581055,16.37849998474121
2014-07-07,17028.1396484375,15.00600004196167,23.761249542236328,41.91499900817871,29.07068634033203,16.751749992370605
2014-07-03,17026.8251953125,15.196666717529297,23.41249942779541,41.775001525878906,29.068442344665527,16.784500122070312
2014-07-02,16968.1708984375,15.646666049957275,23.393749237060547,41.71500015258789,29.06594944000244,16.71049976348877
2014-07-01,16913.6142578125,16.071333408355713,23.399999618530273,41.920000076293945,28.946776390075684,16.457499504089355
2014-06-30,16836.6044921875,16.116333484649658,23.227499961853027,41.954999923706055,28.778986930847168,16.23050022125244
